,OTU,Kingdom,Phylum,Class,Order,Family,Genus,Oliver35,Oliver36,Oliver40,Oliver41,Oliver42,Oliver46,Oliver47,Oliver48,Oliver104,Oliver105,Oliver106,Oliver107,Oliver108,Oliver109,Oliver116,Oliver117,Oliver118,Oliver119,Oliver120,Oliver121,Oliver128,Oliver129,Oliver130,Oliver131,Oliver132,Oliver133
1,OTU01,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,0,0,0,0,0,0,0,0,1148,512,0,0,0,859,19,766,0,0,0,0,0,0,0,6,2,1057
2,OTU02,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0,2,0,0,0,0,0,0,24,166,0,0,0,2,0,13,0,0,0,0,0,0,0,2,48,1114
3,OTU03,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,0,18,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4,OTU04,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,0,0,8,26,40,0,0,0,14,29,0,0,0,35,76,74,0,0,0,0,0,0,0,1032,188,40
5,OTU05,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter,330,156,563,500,453,78,963,348,2,3,242,303,127,7,166,77,202,346,461,149,133,356,91,83,245,0
6,OTU06,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,3,2,6,3,4,2,7,7,242,204,2,0,0,150,0,258,0,0,0,0,0,0,0,0,0,317
7,OTU07,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,0,0,0,0,0,0,0,0,11,11,0,0,0,90,447,245,0,0,0,0,0,0,0,12,289,0
8,OTU08,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,250,68,242,241,307,65,270,315,26,122,54,189,111,39,198,64,253,257,318,86,172,287,122,52,86,88
9,OTU09,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,0,0,0,0,0,0,0,0,178,100,0,0,0,726,65,0,0,0,0,0,0,0,0,49,0,22
10,OTU010,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,Actinobacterium,6,13,4,31,71,57,116,43,0,0,45,51,29,0,0,0,17,41,44,23,22,37,45,0,0,0
11,OTU011,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,0,0,0,0,0,0,0,0,150,0,0,0,0,3,540,477,0,0,0,0,0,0,0,2,673,0
12,OTU012,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339
