OTU,Kingdom,Phylum,Class,Order,Family,Genus,Oliver4,Oliver7,Oliver8,Oliver9,Oliver10,Oliver11,Oliver12,Oliver13,Oliver14,Oliver15,Oliver16,Oliver17,Oliver18,Oliver19,Oliver20,Oliver21,Oliver22,Oliver25,Oliver27,Oliver28,Oliver30,Oliver31,Oliver37,Oliver38,Oliver39,Oliver44,Oliver45,Oliver49,Oliver50,Oliver51,Oliver55,Oliver56,Oliver57,Oliver62,Oliver63,Oliver64,Oliver68,Oliver69,Oliver78,Oliver81,Oliver82,Oliver83,Oliver84,Oliver85,Oliver86,Oliver87,Oliver88,Oliver89,Oliver90,Oliver91,Oliver92,Oliver93,Oliver94,Oliver95,Oliver96,Oliver97,Oliver98,Oliver99,Oliver100,Oliver101,Oliver102,Oliver103,Oliver110,Oliver111,Oliver112,Oliver113,Oliver114,Oliver115,Oliver122,Oliver123,Oliver124,Oliver125,Oliver126,Oliver127,Oliver134,Oliver135,Oliver136,Oliver137,Oliver138,Oliver139,Oliver140,Oliver141,Oliver142,Oliver143,Oliver144,Oliver145,Oliver146,Oliver147,Oliver148,Oliver149,Oliver150,Oliver199,Oliver201,Oliver202,Oliver203,Oliver204,Oliver205,Oliver206,Oliver207
OTU01,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,474,609,0,0,0,458,0,0,0,0,0,0,56,385,0,261,211,391,60,243,328,136,463,499,211,208,0,0,0,27,51,2,515,16,0,0,0
OTU02,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,10,0,0,0,44,0,0,0,0,0,0,702,216,0,206,0,9,5,65,151,39,798,365,0,12,0,0,7,18,2,60,492,28,0,0,0
OTU03,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,42,0,0,1088,0,0,0,0,99,0,0,31,0,0,0,0,0,221,0,0,0,249,0,0,0
OTU04,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,3,0,6,2,2,2,2,2,0,0,9,10,2,2,0,2,2,2,64,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,227,13,10,58,49,8,0,15,32,38,0,0,7,2,10,88,61,8,140,3,12,7,44,8,12,5,0,14,5,0,20,10,0,0,0,0
OTU05,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter,689,19,31,938,880,188,40,0,0,0,154,107,66,0,3,8,355,7,237,448,818,422,372,352,434,639,314,13,126,38,207,314,121,168,213,571,57,58,18,357,171,395,126,271,166,89,155,347,206,128,193,369,302,162,311,267,41,276,139,305,166,0,0,19,347,184,88,152,134,228,223,287,66,204,0,0,40,0,0,16,0,0,0,22,0,0,38,251,6,286,85,4,13,0,0,0,128,72,31
OTU06,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,8,3,12,12,10,0,9,6,0,0,0,0,7,0,6,14,6,0,0,7,8,4,6,5,2,4,2,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,124,61,3,0,3,328,0,0,2,0,0,2,2,58,0,145,95,101,18,850,87,29,154,42,84,138,0,2,0,25,50,8,670,4,0,0,0
OTU07,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,423,0,0,0,471,0,0,0,0,0,0,16,0,10,110,0,148,95,56,458,32,2,559,90,772,0,0,0,33,125,96,13,32,0,0,0
OTU08,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,96,46,99,130,122,40,111,4,0,2,0,0,14,0,8,20,228,72,198,261,521,168,132,272,358,232,240,83,110,30,187,179,101,179,204,234,90,194,37,113,106,314,100,344,162,127,127,197,136,141,188,132,166,51,104,305,89,123,94,161,117,104,5,13,271,180,117,51,144,236,248,149,69,258,35,76,27,2,15,32,50,99,63,21,30,180,66,49,5,327,142,72,32,41,52,2,116,98,46
OTU09,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,62,0,0,0,2,0,0,0,0,0,0,14,0,0,63,53,153,9,125,12,3,25,49,0,0,0,0,0,4,30,14,66,0,0,0,0
OTU010,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,Actinobacterium,413,166,369,750,533,230,596,11,5,6,0,4,9,0,8,29,73,14,21,60,94,41,80,68,62,67,28,0,0,2,32,13,15,30,37,60,0,0,2,35,3,33,15,33,2,13,23,38,39,23,37,50,46,0,64,39,21,30,44,39,0,0,0,0,33,13,12,0,32,31,30,21,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,30,15,0
