Sample,Condition,Fertilizer,Plant,Timepoint
Oliver4,Not_Sterile,No_fertilizer,No_plant,T1
Oliver7,Not_Sterile,Organic,No_plant,T1
Oliver8,Not_Sterile,Organic,No_plant,T1
Oliver9,Not_Sterile,Organic,No_plant,T1
Oliver10,Not_Sterile,Struvite,No_plant,T1
Oliver11,Not_Sterile,Struvite,No_plant,T1
Oliver12,Not_Sterile,Struvite,No_plant,T1
Oliver13,Sterile,No_fertilizer,No_plant,T1
Oliver14,Sterile,No_fertilizer,No_plant,T1
Oliver15,Sterile,No_fertilizer,No_plant,T1
Oliver16,Sterile,Organic,No_plant,T1
Oliver17,Sterile,Organic,No_plant,T1
Oliver18,Sterile,Organic,No_plant,T1
Oliver19,Sterile,Struvite,No_plant,T1
Oliver20,Sterile,Struvite,No_plant,T1
Oliver21,Sterile,Struvite,No_plant,T1
Oliver22,Not_Sterile,No_fertilizer,No_plant,T2
Oliver25,Not_Sterile,Organic,No_plant,T2
Oliver27,Not_Sterile,Organic,No_plant,T2
Oliver28,Not_Sterile,Struvite,No_plant,T2
Oliver30,Not_Sterile,Struvite,No_plant,T2
Oliver31,Not_Sterile,No_fertilizer,Lupine,T2
Oliver37,Not_Sterile,Organic,Lupine,T2
Oliver38,Not_Sterile,Organic,Lupine,T2
Oliver39,Not_Sterile,Organic,Lupine,T2
Oliver44,Not_Sterile,Struvite,Lupine,T2
Oliver45,Not_Sterile,Struvite,Lupine,T2
Oliver49,Sterile,No_fertilizer,No_plant,T2
Oliver50,Sterile,No_fertilizer,No_plant,T2
Oliver51,Sterile,No_fertilizer,No_plant,T2
Oliver55,Sterile,Organic,No_plant,T2
Oliver56,Sterile,Organic,No_plant,T2
Oliver57,Sterile,Organic,No_plant,T2
Oliver62,Sterile,Struvite,No_plant,T2
Oliver63,Sterile,Struvite,No_plant,T2
Oliver64,Sterile,Struvite,No_plant,T2
Oliver68,Sterile,Organic,No_plant,T2
Oliver69,Sterile,Struvite,No_plant,T2
Oliver78,Sterile,Organic,No_plant,T2
Oliver81,Not_Sterile,No_fertilizer,No_plant,T3
Oliver82,Not_Sterile,No_fertilizer,No_plant,T3
Oliver83,Not_Sterile,No_fertilizer,No_plant,T3
Oliver84,Not_Sterile,Organic,No_plant,T3
Oliver85,Not_Sterile,Organic,No_plant,T3
Oliver86,Not_Sterile,Organic,No_plant,T3
Oliver87,Not_Sterile,Struvite,No_plant,T3
Oliver88,Not_Sterile,Struvite,No_plant,T3
Oliver89,Not_Sterile,Struvite,No_plant,T3
Oliver90,Not_Sterile,No_fertilizer,No_plant,T3
Oliver91,Not_Sterile,No_fertilizer,No_plant,T3
Oliver92,Not_Sterile,Organic,No_plant,T3
Oliver93,Not_Sterile,Organic,No_plant,T3
Oliver94,Not_Sterile,Organic,No_plant,T3
Oliver95,Not_Sterile,Struvite,No_plant,T3
Oliver96,Not_Sterile,Struvite,No_plant,T3
Oliver97,Not_Sterile,Struvite,No_plant,T3
Oliver98,Not_Sterile,No_fertilizer,Lupine,T3
Oliver99,Not_Sterile,No_fertilizer,Lupine,T3
Oliver100,Not_Sterile,No_fertilizer,Lupine,T3
Oliver101,Not_Sterile,No_fertilizer,Lupine,T3
Oliver102,Not_Sterile,No_fertilizer,Lupine,T3
Oliver103,Not_Sterile,No_fertilizer,Lupine,T3
Oliver110,Not_Sterile,Organic,Lupine,T3
Oliver111,Not_Sterile,Organic,Lupine,T3
Oliver112,Not_Sterile,Organic,Lupine,T3
Oliver113,Not_Sterile,Organic,Lupine,T3
Oliver114,Not_Sterile,Organic,Lupine,T3
Oliver115,Not_Sterile,Organic,Lupine,T3
Oliver122,Not_Sterile,Struvite,Lupine,T3
Oliver123,Not_Sterile,Struvite,Lupine,T3
Oliver124,Not_Sterile,Struvite,Lupine,T3
Oliver125,Not_Sterile,Struvite,Lupine,T3
Oliver126,Not_Sterile,Struvite,Lupine,T3
Oliver127,Not_Sterile,Struvite,Lupine,T3
Oliver134,Sterile,Struvite,No_plant,T3
Oliver135,Sterile,No_fertilizer,No_plant,T3
Oliver136,Sterile,No_fertilizer,No_plant,T3
Oliver137,Sterile,No_fertilizer,No_plant,T3
Oliver138,Sterile,Struvite,No_plant,T3
Oliver139,Sterile,No_fertilizer,No_plant,T3
Oliver140,Sterile,No_fertilizer,No_plant,T3
Oliver141,Sterile,Organic,No_plant,T3
Oliver142,Sterile,Organic,No_plant,T3
Oliver143,Sterile,Organic,No_plant,T3
Oliver144,Sterile,Organic,No_plant,T3
Oliver145,Sterile,Struvite,No_plant,T3
Oliver146,Sterile,No_fertilizer,No_plant,T3
Oliver147,Sterile,Organic,No_plant,T3
Oliver148,Sterile,Struvite,No_plant,T3
Oliver149,Sterile,Struvite,No_plant,T3
Oliver150,Sterile,Struvite,No_plant,T3
Oliver199,Sterile,Struvite,No_plant,T3
Oliver201,Sterile,Struvite,No_plant,T3
Oliver202,Sterile,No_fertilizer,No_plant,T3
Oliver203,Sterile,Organic,No_plant,T3
Oliver204,Sterile,Organic,No_plant,T3
Oliver205,Sterile,No_fertilizer,No_plant,T3
Oliver206,Sterile,Organic,No_plant,T3
Oliver207,Sterile,Organic,No_plant,T3
