Sample,Condition,Fertilizer,Plant,Timepoint,Pielou,shannon,totalspecies
Oliver4,Not_Sterile,No_fertilizer,No_plant,T1,0.772579727,4.290104001,258
Oliver7,Not_Sterile,Organic,No_plant,T1,0.794327473,3.92528234,140
Oliver8,Not_Sterile,Organic,No_plant,T1,0.766066303,4.047284348,197
Oliver9,Not_Sterile,Organic,No_plant,T1,0.736283079,4.082820321,256
Oliver10,Not_Sterile,Struvite,No_plant,T1,0.72356198,3.896015906,218
Oliver11,Not_Sterile,Struvite,No_plant,T1,0.778032881,3.705127908,117
Oliver12,Not_Sterile,Struvite,No_plant,T1,0.737953037,3.942391785,209
Oliver13,Sterile,No_fertilizer,No_plant,T1,0.821263563,3.402605587,63
Oliver14,Sterile,No_fertilizer,No_plant,T1,0.808940247,2.723941121,29
Oliver15,Sterile,No_fertilizer,No_plant,T1,0.799598484,2.719592272,30
Oliver16,Sterile,Organic,No_plant,T1,0.649053448,2.45614133,44
Oliver17,Sterile,Organic,No_plant,T1,0.72769627,2.49889968,31
Oliver18,Sterile,Organic,No_plant,T1,0.792988539,2.963929171,42
Oliver19,Sterile,Struvite,No_plant,T1,0.729727756,2.221672526,21
Oliver20,Sterile,Struvite,No_plant,T1,0.821775028,3.336770668,58
Oliver21,Sterile,Struvite,No_plant,T1,0.766306882,3.70607611,126
Oliver22,Not_Sterile,No_fertilizer,No_plant,T2,0.835392877,4.966762028,382
Oliver25,Not_Sterile,Organic,No_plant,T2,0.878709218,4.420292171,153
Oliver27,Not_Sterile,Organic,No_plant,T2,0.844185548,4.654356868,248
Oliver28,Not_Sterile,Struvite,No_plant,T2,0.832124844,4.929720433,374
Oliver30,Not_Sterile,Struvite,No_plant,T2,0.78079283,4.602307469,363
Oliver31,Not_Sterile,No_fertilizer,Lupine,T2,0.825988344,4.680402397,289
Oliver37,Not_Sterile,Organic,Lupine,T2,0.817132565,4.474996711,239
Oliver38,Not_Sterile,Organic,Lupine,T2,0.84596937,4.943459586,345
Oliver39,Not_Sterile,Organic,Lupine,T2,0.825485743,4.818963256,343
Oliver44,Not_Sterile,Struvite,Lupine,T2,0.793393041,4.498444065,290
Oliver45,Not_Sterile,Struvite,Lupine,T2,0.823929741,4.663015716,287
Oliver49,Sterile,No_fertilizer,No_plant,T2,0.865874841,4.947377486,303
Oliver50,Sterile,No_fertilizer,No_plant,T2,0.798132842,4.568181242,306
Oliver51,Sterile,No_fertilizer,No_plant,T2,0.852999495,4.685578639,243
Oliver55,Sterile,Organic,No_plant,T2,0.852076586,4.747901984,263
